the_geom;longitude;latitude;nom_lieu;Borough
POINT (-73.88895811640342 40.8962098695574);-73.88895811640342;40.8962098695574;Van Cortlandt Park;Bronx
POINT (-73.87165102682086 40.88987947152594);-73.87165102682086 ;40.8898794715259;Woodlawn Cemetery;Bronx
POINT (-73.8386418872537 40.88696522165708);-73.8386418872537 4;0.88696522165708;Seton Falls Park;Bronx
POINT (-73.80980242290379 40.87798554992497);-73.80980242290379 ;40.8779855499249;Pelham Bay Park;Bronx
POINT (-73.87830775950145 40.864423947038276);-73.87830775950145 ;40.8644239470382;Botanical Garden;Bronx
POINT (-73.87626064361218 40.85552207412337);-73.87626064361218 ;40.8555220741233;Bronx Park;Bronx
POINT (-73.83530397142964 40.82330814715979);-73.83530397142964 ;40.8233081471597;Saint  Raymond's Cemetery;Bronx
POINT (-73.83284639755986 40.814343380069246);-73.83284639755986 ;40.8143433800692;Ferry Point Park;Bronx
POINT (-73.87217310381769 40.81544429769787);-73.87217310381769 ;40.8154442976978;Sound View Park;Bronx
POINT (-73.89422936815207 40.83847660461835);-73.89422936815207 ;40.8384766046183;Crotona Park;Bronx
POINT (-73.87523756734706 40.84900594697981);-73.87523756734706 ;40.8490059469798;Zoo/Wildlife Conser. Park;Bronx
POINT (-73.76975723964243 40.851364969267536);-73.76975723964243 ;40.8513649692675;Hart Island;Bronx
POINT (-73.91175819597106 40.81147587509648);-73.91175819597106 ;40.8114758750964;Saint Mary's Park;Bronx
POINT (-73.92618082532951 40.872193334259926);-73.92618082532951 ;40.8721933342599;Inwood Hill Park;Manhattan
POINT (-73.93190269450912 40.862990772923396);-73.93190269450912 ;40.8629907729233;Fort Tryon Park;Manhattan
POINT (-73.88276247711234 40.791980533469754);-73.88276247711234 ;40.7919805334697;Rikers Island;Queens
POINT (-73.94268045554563 40.80345956584207);-73.94268045554563 ;40.8034595658420;Marcus Garvey Park;Manhattan
POINT (-73.92169947285805 40.79591467134582);-73.92169947285805 ;40.7959146713458;Randall's Island Park;Manhattan
POINT (-73.92997389407995 40.784284324777666);-73.92997389407995 ;40.7842843247776;Ward's Island Park;Manhattan
POINT (-73.9656559857641 40.78288157650297);-73.9656559857641 4;0.78288157650297;Central Park;Manhattan
POINT (-73.98190208354553 40.76806052553004);-73.98190208354553 ;40.7680605255300;Columbus Circle;Manhattan
POINT (-73.98179379395485 40.75802130316951);-73.98179379395485 ;40.7580213031695;Times Square;Manhattan
POINT (-73.9880666276522 40.74218139635935);-73.9880666276522 4;0.74218139635935;Madison Square;Manhattan
POINT (-73.99038010031393 40.73595972106511);-73.99038010031393 ;40.7359597210651;Union Square;Manhattan
POINT (-74.01838919066344 40.68941550618436);-74.01838919066344 ;40.6894155061843;Governors Island;Manhattan
POINT (-73.95198134413582 40.72089970411925);-73.95198134413582 ;40.7208997041192;McCarren Park;Brooklyn
POINT (-73.92426900777012 40.776792340470784);-73.92426900777012 ;40.7767923404707;Astoria Park;Queens
POINT (-73.96612485508889 40.66993701228011);-73.96612485508889 ;40.6699370122801;Botanic Garden;Brooklyn
POINT (-73.96908663893517 40.6612508155903);-73.96908663893517 ;40.6612508155903;Prospect Park;Brooklyn
POINT (-73.99044121963072 40.65204690915801);-73.99044121963072 ;40.6520469091580;Greenwood Cemetery;Brooklyn
POINT (-73.9376482616997 40.64686106018592);-73.9376482616997 4;0.64686106018592;Holy Cross Cemetery;Brooklyn
POINT (-74.01857569600294 40.6550850778905);-74.01857569600294 ;40.6550850778905;Bush Terminal;Brooklyn
POINT (-74.0323085182286 40.639958950876455);-74.0323085182286 4;0.63995895087645;Owls Head Park;Brooklyn
POINT (-74.02879132751748 40.60738115117111);-74.02879132751748 ;40.6073811511711;Fort Hamilton;Brooklyn
POINT (-74.0195610269429 40.6114640343956);-74.0195610269429 4;0.6114640343956);Dyker Beach Park;Brooklyn
POINT (-73.97543203962991 40.62022206700046);-73.97543203962991 ;40.6202220670004;Washington Cemetery;Brooklyn
POINT (-73.92408612898762 40.6033622478687);-73.92408612898762 ;40.6033622478687;Marine Park;Brooklyn
